0
Linha: 109 | HOST: WORKSTATION-1 | IP: 172.18.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 476 | HOST: SERVER-10 | IP: 172.20.0.10 - Excecao:  Não inserido (Data deve ser informada)
Linha: 477 | HOST: WORKSTATION-8 | IP: 172.18.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 478 | HOST: SERVER-9 | IP: 172.20.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 479 | HOST: WORKSTATION-9 | IP: 172.18.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 480 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 481 | HOST: SERVER-5 | IP: 172.20.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 482 | HOST: SERVER-3 | IP: 172.20.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 483 | HOST: WORKSTATION-4 | IP: 172.18.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 484 | HOST: WORKSTATION-7 | IP: 172.18.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 485 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 486 | HOST: WORKSTATION-16 | IP: 172.18.0.16 - Excecao:  Não inserido (Data deve ser informada)
Linha: 487 | HOST: WORKSTATION-14 | IP: 172.18.0.14 - Excecao:  Não inserido (Data deve ser informada)
Linha: 488 | HOST: WORKSTATION-18 | IP: 172.18.0.18 - Excecao:  Não inserido (Data deve ser informada)
Linha: 489 | HOST: WORKSTATION-6 | IP: 172.18.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 490 | HOST: WORKSTATION-4 | IP: 172.18.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 491 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 492 | HOST: SERVER-6 | IP: 172.20.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 493 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 494 | HOST: SERVER-1 | IP: 172.20.0.1 - Excecao:  Não inserido (Data deve ser informada)
Linha: 495 | HOST: SERVER-9 | IP: 172.20.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 496 | HOST: WORKSTATION-9 | IP: 172.18.0.9 - Excecao:  Não inserido (Data deve ser informada)
Linha: 497 | HOST: WORKSTATION-16 | IP: 172.18.0.16 - Excecao:  Não inserido (Data deve ser informada)
Linha: 498 | HOST: SERVER-3 | IP: 172.20.0.3 - Excecao:  Não inserido (Data deve ser informada)
Linha: 499 | HOST: WORKSTATION-8 | IP: 172.18.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 500 | HOST: WORKSTATION-5 | IP: 172.18.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 501 | HOST: SERVER-10 | IP: 172.20.0.10 - Excecao:  Não inserido (Data deve ser informada)
Linha: 502 | HOST: WORKSTATION-14 | IP: 172.18.0.14 - Excecao:  Não inserido (Data deve ser informada)
Linha: 503 | HOST: WORKSTATION-4 | IP: 172.18.0.4 - Excecao:  Não inserido (Data deve ser informada)
Linha: 504 | HOST: SERVER-6 | IP: 172.20.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 505 | HOST: WORKSTATION-6 | IP: 172.18.0.6 - Excecao:  Não inserido (Data deve ser informada)
Linha: 506 | HOST: SERVER-8 | IP: 172.20.0.8 - Excecao:  Não inserido (Data deve ser informada)
Linha: 507 | HOST: WORKSTATION-18 | IP: 172.18.0.18 - Excecao:  Não inserido (Data deve ser informada)
Linha: 508 | HOST: WORKSTATION-7 | IP: 172.18.0.7 - Excecao:  Não inserido (Data deve ser informada)
Linha: 509 | HOST: SERVER-2 | IP: 172.20.0.2 - Excecao:  Não inserido (Data deve ser informada)
Linha: 510 | HOST: SERVER-5 | IP: 172.20.0.5 - Excecao:  Não inserido (Data deve ser informada)
Linha: 511 | HOST: SERVER-4 | IP: 172.20.0.4 - Excecao:  Não inserido (Data deve ser informada)
